,number,fitness (opposite of the  mean episode reward),params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_log_std_init,params_lr,params_net_arch,params_target_entropy,params_tau,params_train_freq,system_attrs__number,state
387,387,-96.1239852905274,512,10000,0.1,0.9999,-1.17515791101869,0.000499634915354,medium,,0.02,16,387,COMPLETE
390,390,-96.1223983764648,512,10000,0.1,0.999,-2.04576081311126,0.000482695194164,medium,,0.02,16,390,COMPLETE
364,364,-96.1204986572266,512,10000,0.1,0.9999,-2.43895384276833,0.000320122731156,medium,,0.02,16,364,COMPLETE
51,51,-96.1147689819336,64,1000000,0.1,0.9999,-3.44433591036554,0.00108764635277,big,,0.01,128,51,COMPLETE
212,212,-96.1082534790039,512,10000,0.1,0.9999,-2.40644858994564,0.000571121846821,medium,,0.01,32,212,COMPLETE
153,153,-96.1017837524414,64,1000000,0.1,0.9999,-2.35409294863419,0.000852836936587,small,,0.01,32,153,COMPLETE
358,358,-96.0920944213867,512,10000,0.1,0.9999,-2.8046691559289,0.000718090969638,medium,,0.02,16,358,COMPLETE
232,232,-96.0765991210937,512,10000,0.1,0.9999,-2.46249542580778,0.000384702063832,medium,,0.01,32,232,COMPLETE
149,149,-96.0734405517578,64,1000000,0.1,0.9999,-3.54984208901354,0.000815987757194,small,,0.01,32,149,COMPLETE
214,214,-96.0420608520508,512,10000,0.1,0.9999,-3.80934125639769,0.000673378212483,medium,,0.01,32,214,COMPLETE
197,197,-96.0402679443359,512,10000,0.1,0.9999,-3.67200645767109,0.001946064803807,small,,0.01,128,197,COMPLETE
148,148,-96.037727355957,16,1000000,0.1,0.9999,-2.96355328707253,0.00118434417751,small,,0.01,32,148,COMPLETE
308,308,-96.0184555053711,512,10000,0.1,0.9999,-2.98753564997805,0.002596129539595,medium,,0.005,32,308,COMPLETE
237,237,-96.017333984375,512,10000,0.1,0.9999,-2.20791746401665,0.000305960571316,medium,,0.02,32,237,COMPLETE
383,383,-96.0029296875,512,10000,0.1,0.9999,-2.12349556800874,0.00048132513325,medium,,0.02,16,383,COMPLETE
248,248,-95.9861831665039,512,10000,0.1,0.9999,-2.20762356337358,0.000221345976369,medium,,0.01,32,248,COMPLETE
129,129,-95.9829406738281,32,1000000,0.1,0.999,-3.18271158242928,0.001928196411014,big,,0.01,8,129,COMPLETE
224,224,-95.9747772216797,512,10000,0.1,0.9999,-2.46619052248799,0.000533481448541,medium,,0.01,32,224,COMPLETE
273,273,-95.9733963012695,512,10000,auto,0.9999,-2.51104130257799,0.000847060321133,medium,-0.314010003376894,0.02,512,273,COMPLETE
333,333,-95.9716339111328,512,10000,0.1,0.9999,-2.68683483689974,0.000906405964711,medium,,0.02,32,333,COMPLETE
79,79,-95.9591903686524,64,1000000,0.1,0.9999,-3.26477844088906,0.000785783049822,big,,0.01,32,79,COMPLETE
304,304,-95.9512023925781,512,10000,0.1,0.9999,-2.60267198340635,0.000276576387835,medium,,0.01,32,304,COMPLETE
58,58,-95.9394302368164,512,1000000,0.1,0.9999,-3.63625723139043,0.002187796262059,big,,0.01,32,58,COMPLETE
261,261,-95.9273986816406,512,10000,0.1,0.9999,-2.04349318934309,0.000166594239055,medium,,0.02,32,261,COMPLETE
41,41,-95.9245758056641,64,1000000,0.1,0.9999,-2.90902984706223,0.0012654782134,small,,0.01,32,41,COMPLETE
386,386,-95.9209594726562,512,10000,0.1,0.9999,-2.1162816299203,0.000496804670616,medium,,0.02,16,386,COMPLETE
393,393,-95.9209594726562,512,10000,0.1,0.999,-2.20506347364374,0.000480276460555,medium,,0.02,16,393,COMPLETE
262,262,-95.9052886962891,512,10000,0.1,0.9999,-1.99115124910755,0.000170477098674,medium,,0.02,32,262,COMPLETE
326,326,-95.8845748901367,512,100000,0.1,0.9999,-2.46990148065618,0.0004066644697,small,,0.01,32,326,COMPLETE
138,138,-95.8767852783203,64,1000000,0.1,0.9999,-3.37659556388948,0.001689295902148,small,,0.01,32,138,COMPLETE
258,258,-95.8657531738281,512,10000,0.1,0.9999,-2.30516459024096,0.00041578424428,medium,,0.02,32,258,COMPLETE
317,317,-95.8606414794922,512,10000,0.1,0.9999,-2.91499999417616,0.000711262760221,medium,,0.01,32,317,COMPLETE
257,257,-95.8475112915039,512,10000,0.1,0.9999,-2.32307753107891,0.000372680959788,medium,,0.02,32,257,COMPLETE
142,142,-95.8237152099609,32,1000000,0.1,0.999,-3.38599952783304,0.001501963071339,big,,0.01,32,142,COMPLETE
131,131,-95.8164443969727,32,1000000,0.1,0.9999,-3.63391125977121,0.000345607847019,big,,0.01,32,131,COMPLETE
62,62,-95.7813568115234,64,1000000,0.1,0.9999,-3.79839662941436,0.001906351972307,big,,0.01,128,62,COMPLETE
122,122,-95.7683258056641,64,1000000,0.1,0.9999,-3.80043198592474,0.001253308219535,small,,0.01,32,122,COMPLETE
341,341,-95.7650527954102,512,10000,0.1,0.95,-2.68294164984666,0.000900042052881,medium,,0.02,32,341,COMPLETE
230,230,-95.7645492553711,512,10000,0.1,0.9999,-2.2851514955536,0.000493648350368,medium,,0.01,32,230,COMPLETE
208,208,-95.764518737793,64,10000,0.1,0.9999,-3.11800896112731,0.001282732450108,small,,0.01,128,208,COMPLETE
236,236,-95.7637176513672,512,10000,0.1,0.9999,-2.38561218257453,0.000467149818167,medium,,0.01,32,236,COMPLETE
120,120,-95.7541961669922,64,1000000,0.1,0.9999,-3.83555702085821,0.000468279729814,small,,0.01,32,120,COMPLETE
444,444,-95.7192840576172,32,10000,0.1,0.9999,-2.45642601778688,0.001094672862727,medium,,0.02,32,444,COMPLETE
267,267,-95.6882858276367,512,10000,0.1,0.9999,-2.46562059415148,9.38459209651179E-05,medium,,0.02,32,267,COMPLETE
268,268,-95.6620330810547,512,10000,0.05,0.9999,-2.49314380661603,0.000770448520831,medium,,0.02,32,268,COMPLETE
50,50,-95.6475601196289,64,1000000,0.1,0.9999,-3.51913521518012,0.001092308687387,small,,0.01,32,50,COMPLETE
106,106,-95.644645690918,512,10000,0.1,0.95,-3.05795779255514,0.000956995477329,small,,0.01,32,106,COMPLETE
446,446,-95.6266021728516,32,10000,0.1,0.9999,-2.43147922564017,0.000786064409139,medium,,0.02,32,446,COMPLETE
147,147,-95.6061477661133,64,1000000,0.1,0.999,-3.54421027875214,0.000816216634652,big,,0.01,16,147,COMPLETE
221,221,-95.6024169921875,512,10000,0.1,0.9999,-2.18613850843259,0.000581770781498,medium,,0.01,32,221,COMPLETE
353,353,-95.5984725952149,512,10000,0.1,0.995,-2.52257767554408,0.001414587366634,medium,,0.02,32,353,COMPLETE
483,483,-95.5780181884766,512,100000,0.1,0.9999,-2.02230601936245,0.000844866062443,medium,,0.02,64,483,PRUNED
133,133,-95.5771789550781,64,1000000,0.1,0.999,-3.6441032935577,0.002328854493221,big,,0.02,8,133,COMPLETE
265,265,-95.5761032104492,512,10000,0.1,0.9999,-1.8581677391301,0.000332993392017,medium,,0.02,32,265,COMPLETE
207,207,-95.5741424560547,512,10000,0.1,0.9999,-3.97943091338559,0.0013877901418,medium,,0.01,128,207,COMPLETE
178,178,-95.5685043334961,512,1000000,0.1,0.9999,-3.88370112451161,0.002753165643621,big,,0.01,32,178,COMPLETE
160,160,-95.5653839111328,16,1000000,0.1,0.9999,-3.756952578618,0.000790677007062,small,,0.01,32,160,COMPLETE
233,233,-95.5631942749023,512,10000,0.1,0.9999,-2.49179165504782,0.000402759036461,medium,,0.01,32,233,COMPLETE
161,161,-95.558235168457,64,1000000,0.1,0.9999,-2.70072383256482,0.000818179318406,small,,0.01,32,161,COMPLETE
141,141,-95.5495986938477,64,1000000,0.1,0.9999,-3.37863498266581,0.001886423925436,small,,0.01,32,141,COMPLETE
